match_id,giornata,season,date_str,home_team,home_team_code,away_team,away_team_code,home_score,away_score,status,difficolta_home,difficolta_away
2026_G12_MIL_EMP,12,2026/2027,Sun Nov 22 15:00,Milan,MIL,Empoli,EMP,,,SCHEDULED,1,3
2026_G12_VER_GEN,12,2026/2027,Sun Nov 22 15:00,Verona,VER,Genoa,GEN,,,SCHEDULED,1,1
2026_G12_COM_CAG,12,2026/2027,Sun Nov 22 15:00,Como,COM,Cagliari,CAG,,,SCHEDULED,1,1
2026_G12_PAR_ROM,12,2026/2027,Sun Nov 22 15:00,Parma,PAR,Roma,ROM,,,SCHEDULED,2,1
2026_G12_NAP_TOR,12,2026/2027,Sun Nov 22 15:00,Napoli,NAP,Torino,TOR,,,SCHEDULED,2,3
2026_G12_LAZ_LEC,12,2026/2027,Sun Nov 22 15:00,Lazio,LAZ,Lecce,LEC,,,SCHEDULED,1,2
2026_G13_VER_NAP,13,2026/2027,Sun Nov 29 15:00,Verona,VER,Napoli,NAP,,,SCHEDULED,3,1
2026_G13_CAG_MIL,13,2026/2027,Sun Nov 29 15:00,Cagliari,CAG,Milan,MIL,,,SCHEDULED,3,1
2026_G13_COM_JUV,13,2026/2027,Sun Nov 29 15:00,Como,COM,Juventus,JUV,,,SCHEDULED,3,1
2026_G13_ROM_MON,13,2026/2027,Sun Nov 29 15:00,Roma,ROM,Monza,MON,,,SCHEDULED,1,2
2026_G13_EMP_PAR,13,2026/2027,Sun Nov 29 15:00,Empoli,EMP,Parma,PAR,,,SCHEDULED,1,1
2026_G13_TOR_LAZ,13,2026/2027,Sun Nov 29 15:00,Torino,TOR,Lazio,LAZ,,,SCHEDULED,2,2
2026_G13_VEN_BOL,13,2026/2027,Sun Nov 29 15:00,Venezia,VEN,Bologna,BOL,,,SCHEDULED,2,1
2026_G13_LEC_ATA,13,2026/2027,Sun Nov 29 15:00,Lecce,LEC,Atalanta,ATA,,,SCHEDULED,3,1
2026_G13_UDI_FIO,13,2026/2027,Sun Nov 29 15:00,Udinese,UDI,Fiorentina,FIO,,,SCHEDULED,2,1
2026_G13_INT_GEN,13,2026/2027,Sun Nov 29 15:00,Inter,INT,Genoa,GEN,,,SCHEDULED,1,3
2026_G14_GEN_TOR,14,2026/2027,Sun Dec 6 15:00,Genoa,GEN,Torino,TOR,,,SCHEDULED,2,1
2026_G14_JUV_UDI,14,2026/2027,Sun Dec 6 15:00,Juventus,JUV,Udinese,UDI,,,SCHEDULED,1,3
2026_G14_EMP_INT,14,2026/2027,Sun Dec 6 15:00,Empoli,EMP,Inter,INT,,,SCHEDULED,3,1
2026_G14_BOL_ROM,14,2026/2027,Sun Dec 6 15:00,Bologna,BOL,Roma,ROM,,,SCHEDULED,2,2
2026_G14_FIO_CAG,14,2026/2027,Sun Dec 6 15:00,Fiorentina,FIO,Cagliari,CAG,,,SCHEDULED,1,2
2026_G14_LAZ_ATA,14,2026/2027,Sun Dec 6 15:00,Lazio,LAZ,Atalanta,ATA,,,SCHEDULED,3,2
2026_G14_MIL_PAR,14,2026/2027,Sun Dec 6 15:00,Milan,MIL,Parma,PAR,,,SCHEDULED,1,3
2026_G14_VEN_VER,14,2026/2027,Sun Dec 6 15:00,Venezia,VEN,Verona,VER,,,SCHEDULED,1,1
2026_G14_MON_COM,14,2026/2027,Sun Dec 6 15:00,Monza,MON,Como,COM,,,SCHEDULED,1,1
2026_G14_NAP_LEC,14,2026/2027,Sun Dec 6 15:00,Napoli,NAP,Lecce,LEC,,,SCHEDULED,1,3
2026_G15_NAP_MIL,15,2026/2027,Sun Dec 13 15:00,Napoli,NAP,Milan,MIL,,,SCHEDULED,3,3
2026_G15_COM_BOL,15,2026/2027,Sun Dec 13 15:00,Como,COM,Bologna,BOL,,,SCHEDULED,2,1
2026_G15_UDI_EMP,15,2026/2027,Sun Dec 13 15:00,Udinese,UDI,Empoli,EMP,,,SCHEDULED,1,1
2026_G15_LEC_VER,15,2026/2027,Sun Dec 13 15:00,Lecce,LEC,Verona,VER,,,SCHEDULED,1,1
2026_G15_PAR_FIO,15,2026/2027,Sun Dec 13 15:00,Parma,PAR,Fiorentina,FIO,,,SCHEDULED,2,1
2026_G15_CAG_VEN,15,2026/2027,Sun Dec 13 15:00,Cagliari,CAG,Venezia,VEN,,,SCHEDULED,1,1
2026_G15_INT_TOR,15,2026/2027,Sun Dec 13 15:00,Inter,INT,Torino,TOR,,,SCHEDULED,2,3
2026_G15_JUV_MON,15,2026/2027,Sun Dec 13 15:00,Juventus,JUV,Monza,MON,,,SCHEDULED,1,3
2026_G15_ATA_GEN,15,2026/2027,Sun Dec 13 15:00,Atalanta,ATA,Genoa,GEN,,,SCHEDULED,1,3
2026_G15_LAZ_ROM,15,2026/2027,Sun Dec 13 15:00,Lazio,LAZ,Roma,ROM,,,SCHEDULED,2,2
2026_G16_MIL_COM,16,2026/2027,Sun Dec 20 15:00,Milan,MIL,Como,COM,,,SCHEDULED,1,3
2026_G16_VER_PAR,16,2026/2027,Sun Dec 20 15:00,Verona,VER,Parma,PAR,,,SCHEDULED,1,1
2026_G16_ROM_JUV,16,2026/2027,Sun Dec 20 15:00,Roma,ROM,Juventus,JUV,,,SCHEDULED,3,2
2026_G16_EMP_LAZ,16,2026/2027,Sun Dec 20 15:00,Empoli,EMP,Lazio,LAZ,,,SCHEDULED,2,1
2026_G16_ATA_NAP,16,2026/2027,Sun Dec 20 15:00,Atalanta,ATA,Napoli,NAP,,,SCHEDULED,3,3
2026_G16_FIO_BOL,16,2026/2027,Sun Dec 20 15:00,Fiorentina,FIO,Bologna,BOL,,,SCHEDULED,2,2
2026_G16_GEN_UDI,16,2026/2027,Sun Dec 20 15:00,Genoa,GEN,Udinese,UDI,,,SCHEDULED,1,1
2026_G16_LEC_INT,16,2026/2027,Sun Dec 20 15:00,Lecce,LEC,Inter,INT,,,SCHEDULED,3,1
2026_G16_TOR_CAG,16,2026/2027,Sun Dec 20 15:00,Torino,TOR,Cagliari,CAG,,,SCHEDULED,1,2
2026_G16_VEN_MON,16,2026/2027,Sun Dec 20 15:00,Venezia,VEN,Monza,MON,,,SCHEDULED,1,1
2026_G17_UDI_ATA,17,2026/2027,Sun Jan 3 2027 15:00,Udinese,UDI,Atalanta,ATA,,,SCHEDULED,3,1
2026_G17_COM_LEC,17,2026/2027,Sun Jan 3 2027 15:00,Como,COM,Lecce,LEC,,,SCHEDULED,1,1
2026_G17_ROM_EMP,17,2026/2027,Sun Jan 3 2027 15:00,Roma,ROM,Empoli,EMP,,,SCHEDULED,1,2
2026_G17_PAR_NAP,17,2026/2027,Sun Jan 3 2027 15:00,Parma,PAR,Napoli,NAP,,,SCHEDULED,3,1
2026_G17_CAG_GEN,17,2026/2027,Sun Jan 3 2027 15:00,Cagliari,CAG,Genoa,GEN,,,SCHEDULED,1,1
2026_G17_TOR_VEN,17,2026/2027,Sun Jan 3 2027 15:00,Torino,TOR,Venezia,VEN,,,SCHEDULED,1,2
